Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Item de ingresos;Unidad Monetaria;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;19.764.510;42.481.000;27.012.800;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;528.720;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;83.894.393;0;85.766.492;0;0;0;0;0;0;0;0;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Rendimiento por actividades;Pesos;396.830;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Cuotas y aportes de afiliados;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimientos de patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes personas naturales;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Aportes del Estado (art. 33 bis Ley N°18603);Pesos;0;11.427.743;0;0;0;0;0;0;0;0;0;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Rendimiento por actividades;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;2.855.102;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Ingresos procedentes de los aportes de personas naturales;Pesos;14.677.889;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2017;Ene - Mar;Rendimientos procedentes de las actividades del partido;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Cuantía global de las cuotas y aportes de sus afiliados;Pesos;0;0;0;0;0;0;0;0;0;342.224;8.890.674;4.463.000
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Rendimientos procedentes de su propio patrimonio;Pesos;0;0;0;0;0;0;0;0;0;0;0;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Ingresos procedentes de los aportes de personas naturales;Pesos;0;0;0;0;0;0;0;0;0;7.729.485;20.788.537;53.883.733
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Aportes estatales regulados en la Ley N° 18.603;Pesos;0;0;0;0;0;0;0;0;0;0;20.315.988;0
