Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Cotización;Unidad Monetaria;Monto
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Ordinaria;Pesos;0
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Extraordinaria;Pesos;0
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Ordinarias;Pesos;4.452.200
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Extraordinarias;Pesos;84.806.110
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Ordinaria;Pesos;0
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Extraordinaria;Pesos;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Ordinaria;Pesos;0
PP010;Partido Ecologista Verde (PEV);2017;Ene - Mar;Extraordinaria;Pesos;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Ordinaria;Pesos;0
PP011;Partido Evolución Política (Evópoli);2016;Oct - Dic;Extraordinaria;Pesos;13.695.898
PP014;Partido Humanista (PH);2017;Ene - Mar;Ordinaria;Pesos;0
PP014;Partido Humanista (PH);2017;Ene - Mar;Extraordinaria;Pesos;12.950.000
PP014;Partido Humanista (PH);2016;Oct - Dic;Ordinaria;Pesos;0
PP014;Partido Humanista (PH);2016;Oct - Dic;Extraordinaria;Pesos;0
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Ordinaria;Pesos;15.903.753
PP019;Partido Por la Democracia (PPD);2016;Oct - Dic;Extraordinaria;Pesos;6.505.000
PP019;Partido Por la Democracia (PPD);2017;Ene-Mar;Ordinaria;Pesos;19.119.333
PP019;Partido Por la Democracia (PPD);2017;Ene-Mar;Extraordinaria;Pesos;3.077.200
PP021;Partido Progresista (PRO);2016;Oct - Dic;Ordinaria;Pesos;679.493
PP021;Partido Progresista (PRO);2016;Oct - Dic;Extraordinaria;Pesos;0
PP022;Partido Radical Socialdemócrata (PRSD);2016;Oct - Dic;Ordinaria;Pesos;5.281.565
PP022;Partido Radical Socialdemócrata (PRSD);2016;Oct - Dic;Extraordinaria;Pesos;0
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Ordinaria;Pesos;2.734.652
PP022;Partido Radical Socialdemócrata (PRSD);2017;Ene - Mar;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Ordinaria;Pesos;31.390.989
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Ordinaria;Pesos;31.390.989
PP025;Partido Socialista de Chile PS;2017;Ene - Mar;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Abr - Jun;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Jul - Sep;Extraordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Ordinaria;Pesos;0
PP025;Partido Socialista de Chile PS;2017;Oct - Dic;Extraordinaria;Pesos;0
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Ordinaria;Pesos;36.490.839
PP028;Partido Renovación Nacional (RN);2016;Oct - Dic;Extraordinaria;Pesos;0
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Ordinaria;Pesos;14.316.092
PP029;Partido Revolución Democrática (RD);2016;Oct - Dic;Extraordinaria;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Ordinarias;Pesos;6.783.483
PP029;Partido Revolución Democrática (RD);2017;Ene - Mar;Extraordinarias;Pesos;0
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Ordinarias;Pesos;2.849.134
PP029;Partido Revolución Democrática (RD);2017;Abr - Jun;Extraordinarias;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Ordinaria;Pesos;0
PP030;Partido Ciudadanos (CIU);2016;Oct - Dic;Extraordinaria;Pesos;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Ordinaria;Pesos;0
PP030;Partido Ciudadanos (CIU);2017;Ene - Mar;Extraordinaria;Pesos;0
PP031;Partido Todos;2016;Oct - Dic;Ordinaria;Pesos;2.336.224
PP031;Partido Todos;2016;Oct - Dic;Extraordinaria;Pesos;2.683.845
