codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,tipo_cotizacion,unidad_monetaria,monto
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Ordinaria,Pesos,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Extraordinaria,Pesos,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Ordinarias,Pesos,4452200
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Extraordinarias,Pesos,84806110
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Ordinaria,Pesos,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Extraordinaria,Pesos,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Ordinaria,Pesos,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Extraordinaria,Pesos,0
PP011,Partido Evolución Política (Evópoli),2016,Oct - Dic,Ordinaria,Pesos,0
PP011,Partido Evolución Política (Evópoli),2016,Oct - Dic,Extraordinaria,Pesos,13695898
PP014,Partido Humanista (PH),2017,Ene - Mar,Ordinaria,Pesos,0
PP014,Partido Humanista (PH),2017,Ene - Mar,Extraordinaria,Pesos,12950000
PP014,Partido Humanista (PH),2016,Oct - Dic,Ordinaria,Pesos,0
PP014,Partido Humanista (PH),2016,Oct - Dic,Extraordinaria,Pesos,0
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Ordinaria,Pesos,15903753
PP019,Partido Por la Democracia (PPD),2016,Oct - Dic,Extraordinaria,Pesos,6505000
PP019,Partido Por la Democracia (PPD),2017,Ene-Mar,Ordinaria,Pesos,19119333
PP019,Partido Por la Democracia (PPD),2017,Ene-Mar,Extraordinaria,Pesos,3077200
PP021,Partido Progresista (PRO),2016,Oct - Dic,Ordinaria,Pesos,679493
PP021,Partido Progresista (PRO),2016,Oct - Dic,Extraordinaria,Pesos,0
PP022,Partido Radical Socialdemócrata (PRSD),2016,Oct - Dic,Ordinaria,Pesos,5281565
PP022,Partido Radical Socialdemócrata (PRSD),2016,Oct - Dic,Extraordinaria,Pesos,0
PP022,Partido Radical Socialdemócrata (PRSD),2017,Ene - Mar,Ordinaria,Pesos,2734652
PP022,Partido Radical Socialdemócrata (PRSD),2017,Ene - Mar,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Ene - Mar,Ordinaria,Pesos,31390989
PP025,Partido Socialista de Chile PS,2017,Ene - Mar,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Abr - Jun,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Abr - Jun,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Jul - Sep,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Jul - Sep,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Oct - Dic,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Oct - Dic,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Ene - Mar,Ordinaria,Pesos,31390989
PP025,Partido Socialista de Chile PS,2017,Ene - Mar,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Abr - Jun,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Abr - Jun,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Jul - Sep,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Jul - Sep,Extraordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Oct - Dic,Ordinaria,Pesos,0
PP025,Partido Socialista de Chile PS,2017,Oct - Dic,Extraordinaria,Pesos,0
PP028,Partido Renovación Nacional (RN),2016,Oct - Dic,Ordinaria,Pesos,36490839
PP028,Partido Renovación Nacional (RN),2016,Oct - Dic,Extraordinaria,Pesos,0
PP029,Partido Revolución Democrática (RD),2016,Oct - Dic,Ordinaria,Pesos,14316092
PP029,Partido Revolución Democrática (RD),2016,Oct - Dic,Extraordinaria,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Ordinarias,Pesos,6783483
PP029,Partido Revolución Democrática (RD),2017,Ene - Mar,Extraordinarias,Pesos,0
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Ordinarias,Pesos,2849134
PP029,Partido Revolución Democrática (RD),2017,Abr - Jun,Extraordinarias,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Ordinaria,Pesos,0
PP030,Partido Ciudadanos (CIU),2016,Oct - Dic,Extraordinaria,Pesos,0
PP030,Partido Ciudadanos (CIU),2017,Ene - Mar,Ordinaria,Pesos,0
PP030,Partido Ciudadanos (CIU),2017,Ene - Mar,Extraordinaria,Pesos,0
PP031,Partido Todos,2016,Oct - Dic,Ordinaria,Pesos,2336224
PP031,Partido Todos,2016,Oct - Dic,Extraordinaria,Pesos,2683845
