codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,tipo_de_campania,item,unidad_monetaria,monto,estado
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Alcaldicia,-,Pesos,7241839,Pendiente de aprobaci贸n
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Alcaldicia,propaganda,Pesos,291075814,Aprobado
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Concejal,propaganda,Pesos,268213698,Aprobado
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gastos menores,pesos,556280,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Jefa de campa帽a,pesos,300000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,1200000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Diesel,pesos,28000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Diesel,pesos,10000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,666667,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,121000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Prensa,pesos,1700000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,533333,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,733333,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,388889,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,250000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,358889,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Jefe de Campa帽a,pesos,1500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,550000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,700000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Internet,pesos,44992,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Almuerzo,pesos,696000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Radio,pesos,100674,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,92000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,21000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,110000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Mercader铆a varia,pesos,94434,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,81000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,120000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,80000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gr谩ficas,pesos,420000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Radio,pesos,299880,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gigantograf铆as,pesos,2500000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,321000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Gr谩ficas,pesos,2100000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,100000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Aporte a candidato,pesos,800000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Brigadista,pesos,127000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Bastidores,pesos,93713,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Lienzos,pesos,3147550,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Publicidad,pesos,1904000,Pendiente de aprobaci贸n
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Alcaldicia,Comunicaciones,pesos,2100000,Pendiente de aprobaci贸n
