codigo_organismo,nombre_organismo,anio_informado,trimestre_informado,item_de_gastos,unidad_monetaria,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiembre,octubre,noviembre,diciembre
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de Personal,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,0,0,0,0,0,0,5693310,994,64079
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,315,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,2065091,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,706666,0,0
PP006,Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS),2016,Oct - Dic,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de Personal,Pesos,50687305,27728047,45544713,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,24785640,25610720,37716323,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Otros gastos de administración,Pesos,36184546,7430474,1501011,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,2000000,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,1552941,8747713,3874273,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP007,Partido Comunista de Chile (PCCH),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de Personal,Pesos,0,0,0,0,0,0,0,0,0,5560224,0,NA
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,0,0,0,0,0,0,0,0,0,1316302,NA,NA
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,NA
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,NA
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2016,Oct - Dic,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de personal,Pesos,2122903,3777556,10436636,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,814174,1614319,2609051,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Otros gastos de administración,Pesos,152313,1362995,2644719,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de las actividades de preparación de candidatos a cargos de elección popular,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos de las actividades de formación de militantes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos financieros por préstamos de corto plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,Gastos financieros por préstamos de largo plazo,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,"Créditos de corto plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP010,Partido Ecologista Verde (PEV),2017,Ene - Mar,"Créditos de largo plazo, inversiones y valores de operaciones de capital",Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de Personal,Pesos,7772346,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de adquisición de bienes y servicios o gastos corrientes,Pesos,30895341,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Otros gastos de administración,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de investigación,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de educación cívica,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de fomento a la participación femenina,Pesos,500000,0,0,0,0,0,0,0,0,0,0,0
PP011,Partido Evolución Política (Evópoli),2017,Ene - Mar,Gastos de actividades de fomento a la participación de los jóvenes,Pesos,0,0,0,0,0,0,0,0,0,0,0,0
