Código del organismo;Nombre del organismo;Año Informado;Trimestre Informado;Tipo de Campaña;Item;Unidad Monetaria;Monto;Estado
PP006;Partido Movimiento Independiente Regionalista Agrario y Social (MIRAS);2016;Oct - Dic;Alcaldicia;-;Pesos;7.241.839;Pendiente de aprobación
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Alcaldicia;propaganda;Pesos;291.075.814;Aprobado
PP007;Partido Comunista de Chile (PCCH);2017;Ene - Mar;Concejal;propaganda;Pesos;268.213.698;Aprobado
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gastos menores;pesos;556.280;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Jefa de campaña;pesos;300.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;1.200.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Diesel;pesos;28.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Diesel;pesos;10.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;666.667;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;121.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Prensa;pesos;1.700.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;533.333;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;733.333;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;388.889;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;250.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;358.889;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Jefe de Campaña;pesos;1.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;550.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;700.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Internet;pesos;44.992;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Almuerzo;pesos;696.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Radio;pesos;100.674;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;92.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;21.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;110.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Mercadería varia;pesos;94.434;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;81.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;120.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;80.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gráficas;pesos;420.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Radio;pesos;299.880;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gigantografías;pesos;2.500.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;321.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gráficas;pesos;2.100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Aporte a candidato;pesos;800.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Brigadista;pesos;127.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Bastidores;pesos;93.713;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Lienzos;pesos;3.147.550;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Publicidad;pesos;1.904.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Comunicaciones;pesos;2.100.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Publicidad;pesos;1.071.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Comunicaciones;pesos;700.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Indumentaria;pesos;2.177.700;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Escenario;pesos;1.428.000;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Gigantografías;pesos;4.146.912;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;6.650;Pendiente de aprobación
PP010;Partido Ecologista Verde (PEV);2016;Oct - Dic;Alcaldicia;Envío propaganda;pesos;6.650;Pendiente de aprobación
